Date,Open,High,Low,Close,Volume
2018-02-20,72.324501,74.438499,72.324501,73.417503,129984000
2018-02-21,74.25,75.1745,73.945999,74.146004,126088000
2018-02-22,74.767998,75.126999,73.788002,74.266998,97162000
2018-02-23,74.766998,75,74.324997,75,88362000
2018-02-26,75.459999,76.141998,75.349998,76.097504,99100000
2018-02-27,76.224998,76.338997,75.360497,75.598999,96176000
2018-02-28,75.975502,76.434998,75.599998,75.622498,90300000
2018-03-01,75.68,75.9245,73.25,74.672501,136704000
2018-03-02,73.455002,75.052498,72.750504,75.012497,131752000
2018-03-05,74.711998,76.268997,74.050003,76.180496,104678000
2018-03-06,76.660004,77.106499,76.400002,76.882004,91234000
2018-03-07,76.325996,77.294998,76.125504,77.25,83482000
2018-03-08,77.5,77.744003,77.262497,77.593002,77252000
2018-03-09,78.175003,78.946999,77.954002,78.944504,90686000
2018-03-12,79.629997,80.266502,79.334999,79.919502,103484000
2018-03-13,80.797997,80.876999,78.900497,79.408997,130638000
2018-03-14,79.849998,80.321999,79.544502,79.550003,85188000
2018-03-15,79.75,79.845497,78.905502,79.115997,81394000
2018-03-16,79.172501,79.472,78.375,78.584,108500000
2018-03-19,77.726501,78.083,76.267502,77.246498,131616000
2018-03-20,77.516998,79.349998,77.2705,79.3255,91632000
2018-03-21,79.322502,79.5,78.158501,79.093002,95016000
2018-03-22,78.273499,78.692497,77.120003,77.246002,126412000
2018-03-23,76.9505,77.450996,74.767998,74.778,160120000
2018-03-26,76.5,77.849503,74.962502,77.792999,112494000
2018-03-27,78.620003,78.7985,74.115997,74.852501,139992000
2018-03-28,72.349998,72.794998,69.308502,71.570999,274106000
2018-03-29,70.300003,72.773499,68.260002,72.366997,251622000
2018-04-02,70.880997,71.068001,67.75,68.599503,209272000
2018-04-03,69.569,70.699997,67.766502,69.602501,204624000
2018-04-04,67.912003,70.769501,67.643997,70.528503,139646000
2018-04-05,72.099503,72.977997,71.3535,72.587502,128270000
2018-04-06,71.498497,72.625,70.013,70.261497,117646000
2018-04-09,71.251503,71.924004,70.128502,70.304001,84164000
2018-04-10,71.599503,71.918999,70.785004,71.810997,85082000
2018-04-11,71.972,72.439003,71.244499,71.352501,71650000
2018-04-12,71.974998,72.606003,71.752998,72.425003,62700000
2018-04-13,72.457001,72.988998,71.225998,71.539497,73706000
2018-04-16,72.25,72.349998,71.374001,72.074997,56172000
2018-04-17,73.114998,75.359497,72.850998,75.191498,102288000
2018-04-18,75.732498,76.690002,75.205498,76.391998,104550000
2018-04-19,77.161003,78.426003,76.953003,77.845497,130474000
2018-04-20,78.059998,78.059998,75.804497,76.374496,110832000
2018-04-23,77.334503,77.400002,75.170502,75.892998,89308000
2018-04-24,76.790001,76.974998,72.422501,73.004501,149894000
2018-04-25,72.900002,73.499496,70.750999,73.008499,131746000
2018-04-26,74.250504,76.471001,73.925003,75.898003,176022000
2018-04-27,81.7005,81.904999,78.369499,78.630997,261064000
2018-04-30,79.125,79.800003,78.046997,78.306503,109282000
2018-05-01,78.161003,79.25,77.609001,79.112999,91442000
2018-05-02,79.049004,79.425003,78.318001,78.484001,87206000
2018-05-03,78.000504,78.739998,77.301003,78.603996,85038000
2018-05-04,78.122498,79.245003,78.109497,79.047501,68872000
2018-05-07,79.467003,80.347504,79.391502,80.007004,76038000
2018-05-08,79.75,79.844002,79.125504,79.619499,61358000
2018-05-09,80,80.400002,79.599998,80.400002,72746000
2018-05-10,80.424004,80.779999,80.171997,80.454002,56350000
2018-05-11,80.5495,80.555,79.894501,80.1455,45278000
2018-05-14,80.199997,80.558998,80.002502,80.077003,50190000
2018-05-15,79.389999,79.389999,78.261002,78.806,101550000
2018-05-16,78.875,79.721497,78.833504,79.363998,51412000
2018-05-17,79.028,79.702003,78.650002,79.087997,42952000
2018-05-18,79.066498,79.179497,78.605003,78.718498,52852000
2018-05-21,79.25,79.602501,78.75,79.273003,58504000
2018-05-22,79.494499,79.494499,78.762497,79.07,42312000
2018-05-23,78.552498,80.093002,78.317001,80.093002,67238000
2018-05-24,79.901497,80.412003,79.418999,80.153503,68600000
2018-05-25,80.150002,80.706001,80.022499,80.5075,53968000
2018-05-29,80.0355,81.0895,80.0075,80.643501,76930000
2018-05-30,80.904999,81.300003,80.6465,81.244499,58148000
2018-05-31,81.150002,81.75,81.067497,81.481003,63326000
2018-06-01,81.851501,82.336502,81.754501,82.077003,66268000
2018-06-04,82.445,83.283997,82.274498,83.263496,63754000
2018-06-05,83.649498,84.949997,83.502998,84.817497,95644000
2018-06-06,85.225502,85.724998,84.323502,84.787498,109464000
2018-06-07,84.928001,84.995003,83.805496,84.464996,75314000
2018-06-08,84.056,84.472,83.650497,84.199501,59102000
2018-06-11,84.0755,84.711998,84.029503,84.456001,46710000
2018-06-12,84.650002,84.975502,84.575996,84.9375,45184000
2018-06-13,85.140503,85.6875,85.005997,85.242996,66550000
2018-06-14,85.674004,86.239998,85.443497,86.193001,63488000
